word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
flake,10,-3.163036489264807,55.114810890895825,414477.1394456007,229885.76,8,5,488424.95,257297.41,0.54
reg,9,-1.681662286490194,53.38695166507259,613892.8409362558,301541.46,6,5,851193.16,325474.13,0.45
coated,9,-2.130839142354041,53.91446961195907,495845.3656279085,267268.72,4,7,754806.95,344724.43,0.18
seekh,9,-1.7173105211284974,53.54581823391034,411081.477728173,211628.6,7,6,584123.45,227728.77,0.46
herb,9,-2.4140720040676937,54.62450417029861,398845.63977261964,273467.05,5,5,586805.36,263092.95,0.5
meaty,9,-1.5142069062301906,53.168117823627675,342322.42846900865,140025.97,6,5,600188.03,201883.84,0.82
after,9,-1.7284897709324414,53.91590609035299,516516.2853024671,280990.45,5,7,775443.87,325499.65,0.33
greek,9,-0.7362423655824758,52.02690547540525,250711.49268156287,230939.98,7,6,355900.68,208596.45,0.54
ball,9,-2.1827144532779656,53.83221077716373,455491.08862243197,284893.88,5,7,585575.1,335443.31,0.17
chopped,9,-3.1378562176069718,55.22424741535806,535289.8697222489,204844.26,7,5,537057.0,269185.94,0.5
lunchtime,9,-3.355936120956159,54.51164412686389,382016.7257411516,242615.94,6,6,678177.24,279191.57,0.5
cut,9,-2.126410824455346,54.504482588870005,306330.4340237615,197264.49,5,5,597632.99,228882.19,0.7
east,9,-2.2035101092935885,53.89025272734784,495562.3298149617,263632.46,5,6,614547.13,336259.16,0.27
had,9,-2.339316752443398,52.58707768685308,360143.1542285656,220870.28,5,8,529329.43,233946.74,0.54
sponge,9,-2.1385447734474474,54.13066276982575,501310.14786921814,246154.51,6,5,532931.95,285976.03,0.45
espresso,9,-1.5534032710044334,53.0070801935732,592795.4320769525,148402.61,5,6,623935.88,267176.0,0.55
slightly,9,-1.56277891585071,53.43294245886302,386862.7325022761,254675.6,4,5,516080.37,252685.42,0.44
charge,9,-2.1204515594900077,53.270031116634705,528908.3919651173,320507.71,4,5,625835.83,304157.16,0.22
skewer,9,-1.6445412739130076,53.13723318621362,566760.8773188251,309739.84,6,6,566760.88,304968.88,0.33
stuffed,9,-2.1803485806641976,54.08561035723142,494536.6080547475,240714.72,5,8,781847.67,333157.54,0.08
french,9,-3.4837187905123796,54.37835501859853,535962.5504348858,295720.2,4,5,763986.34,342605.34,0.22
love,9,-2.3438225339820136,53.40927570345189,456768.89486203087,178203.09,6,5,659378.24,244337.59,0.64
fishcak,9,-2.3464665707068506,54.068725291895305,532815.5169441977,410733.54,4,8,699541.45,369394.84,0.17
