word,regional
cappuccino,"[0.5000000049998334, 0.49999999500016656]"
eggs,"[0.5000000049998334, 0.49999999500016656]"
lucozade,"[0.5000000049998334, 0.49999999500016656]"
mozzarella,"[0.5000000049998334, 0.49999999500016656]"
chicken steak,"[0.5000000049998334, 0.49999999500016656]"
pork,"[0.5000000049998334, 0.49999999500016656]"
potato fritters,"[0.5000000049998334, 0.49999999500016656]"
donner calzone,"[0.5000000049998334, 0.49999999500016656]"
pasta,"[0.5000000049998334, 0.49999999500016656]"
pollo,"[0.5000000049998334, 0.49999999500016656]"
dandelion,"[0.5000000049998334, 0.49999999500016656]"
categories,"[0.5000000049998334, 0.49999999500016656]"
spaghetti,"[0.5000000049998334, 0.49999999500016656]"
sausage supper,"[0.5000000049998334, 0.49999999500016656]"
chicken nuggets meal,"[0.5000000049998334, 0.49999999500016656]"
burdock,"[0.5000000049998334, 0.49999999500016656]"
scallops,"[0.5000000049998334, 0.49999999500016656]"
beef onion pie,"[0.5000000049998334, 0.49999999500016656]"
ginger,"[0.5000000049998334, 0.49999999500016656]"
bar,"[0.5000000049998334, 0.49999999500016656]"
tuna mayonnaise,"[0.5000000049998334, 0.49999999500016656]"
salmon,"[0.5000000049998334, 0.49999999500016656]"
bit,"[0.5000000049998334, 0.49999999500016656]"
bull,"[0.5000000049998334, 0.49999999500016656]"
seasons,"[0.5000000049998334, 0.49999999500016656]"
potato pie,"[0.5000000049998334, 0.49999999500016656]"
cheese pattie,"[0.5000000049998334, 0.49999999500016656]"
cheese salad,"[0.5000000049998334, 0.49999999500016656]"
family deal,"[0.5000000049998334, 0.49999999500016656]"
ribena,"[0.5000000049998334, 0.49999999500016656]"
rolls,"[0.5000000049998334, 0.49999999500016656]"
pasta dishes,"[0.5000000049998334, 0.49999999500016656]"
kebab wrap,"[0.5000000049998334, 0.49999999500016656]"
chip roll,"[0.5000000049998334, 0.49999999500016656]"
pattie,"[0.5000000049998334, 0.49999999500016656]"
chip shop takeaway order,"[0.5000000049998334, 0.49999999500016656]"
suey roll,"[0.5000000049998334, 0.49999999500016656]"
diet bru,"[0.5000000049998334, 0.49999999500016656]"
diet coke ltr,"[0.5000000049998334, 0.49999999500016656]"
pineapple ring,"[0.5000000049998334, 0.49999999500016656]"
pizza crunch,"[0.5000000049998334, 0.49999999500016656]"
hamburger supper,"[0.5000000049998334, 0.49999999500016656]"
burger,"[0.5239339806164907, 0.47606601938350934]"
chips,"[0.5239339806164907, 0.47606601938350934]"
pizza,"[0.5239339806164907, 0.47606601938350934]"
chicken wings,"[0.5239339806164907, 0.47606601938350934]"
onion pie,"[0.5239339806164907, 0.47606601938350934]"
meat feast,"[0.5239339806164907, 0.47606601938350934]"
postcode,"[0.5239339806164907, 0.47606601938350934]"
wings,"[0.5239339806164907, 0.47606601938350934]"
pudding,"[0.5239339806164907, 0.47606601938350934]"
spring roll,"[0.5239339806164907, 0.47606601938350934]"
king,"[0.5239339806164907, 0.47606601938350934]"
site,"[0.5239339806164907, 0.47606601938350934]"
inch chicken,"[0.5239339806164907, 0.47606601938350934]"
nuggets,"[0.5239339806164907, 0.47606601938350934]"
shop,"[0.5239339806164907, 0.47606601938350934]"
