word,regional
restaurant,"[0.9181874594480396, 0.08181254055196038]"
haddock,"[0.9191016590035379, 0.08089834099646216]"
soup,"[0.9204458312996626, 0.0795541687003376]"
ham,"[0.9207687087325336, 0.07923129126746624]"
categories,"[0.921085747990065, 0.07891425200993502]"
drinks,"[0.9211062756043282, 0.07889372439567181]"
tomatoes,"[0.923050735814872, 0.07694926418512797]"
side orders,"[0.9238226421123256, 0.07617735788767438]"
ice cream,"[0.924489060859373, 0.07551093914062698]"
chicken wings,"[0.9247762489592068, 0.07522375104079289]"
coleslaw,"[0.924865312661741, 0.07513468733825902]"
meal,"[0.9249259820051717, 0.07507401799482803]"
tel,"[0.9263063604147387, 0.07369363958526155]"
chocolate,"[0.9269646756856357, 0.07303532431436435]"
bread,"[0.9279405059441627, 0.0720594940558373]"
kids meal,"[0.9287375523394186, 0.07126244766058121]"
tea,"[0.9315252549526135, 0.06847474504738639]"
coffee,"[0.9325994449130283, 0.06740055508697203]"
dip,"[0.9330413169235969, 0.06695868307640318]"
crispy,"[0.9333825213555802, 0.06661747864441998]"
pineapple fritter,"[0.9334358362679895, 0.06656416373201048]"
cream,"[0.9385424681754655, 0.061457531824534305]"
king,"[0.9390088394264869, 0.060991160573513094]"
relish,"[0.9392328486185907, 0.06076715138140933]"
cockles,"[0.9392672498937736, 0.060732750106226335]"
fritter,"[0.9494366106404823, 0.050563389359517624]"
chicken leg,"[0.9497397493057866, 0.05026025069421341]"
fishcakes,"[0.9518609271944636, 0.04813907280553633]"
sausages,"[0.9544552612377548, 0.045544738762245233]"
curry sauce,"[0.9547463307056632, 0.045253669294336905]"
copyright,"[0.9550225696179282, 0.04497743038207179]"
bar,"[0.965452321329807, 0.03454767867019314]"
banana,"[0.9669043169301019, 0.03309568306989812]"
rolls,"[0.9699072236485438, 0.030092776351456234]"
tuna mayonnaise,"[0.9715121491501933, 0.028487850849806595]"
fish cakes,"[0.9724378835489711, 0.027562116451028924]"
fritters,"[0.9728420883397352, 0.02715791166026476]"
wine,"[0.9728618177403197, 0.027138182259680354]"
street,"[0.9741195646544383, 0.025880435345561822]"
tub,"[0.9799184086818672, 0.020081591318132773]"
fish finger,"[0.98465021140133, 0.015349788598670068]"
roll,"[0.9889866083694767, 0.01101339163052331]"
ribena,"[0.9903463758582828, 0.009653624141717294]"
